,e1,e2,time,r
11868,SZ300014,SZ000100,2018-01-01 00:00:00,invest
12049,SZ000100,SZ300014,2018-01-01 00:00:00,invest
12402,SZ000100,SZ300014,2018-01-02 00:00:00,be_reduced_holding
11845,SH601600,SH600011,2018-01-02 00:00:00,reduce_holding
9705,SZ002146,SZ000786,2018-01-02 00:00:00,rise
1676,SH603885,SZ000166,2018-01-02 00:00:00,same_industry
9944,SZ000786,SZ002146,2018-01-02 00:00:00,rise
2521,SZ000166,SH603885,2018-01-02 00:00:00,same_industry
6010,SZ002230,SH601728,2018-01-02 00:00:00,cooperate
6055,SH601728,SZ002230,2018-01-02 00:00:00,cooperate
12284,SZ300014,SZ000100,2018-01-02 00:00:00,be_reduced_holding
11793,SH600011,SH601600,2018-01-02 00:00:00,reduce_holding
3087,SH601288,SH601066,2018-01-03 00:00:00,same_industry
5898,SH601828,SZ002230,2018-01-03 00:00:00,cooperate
834,SH601066,SH601288,2018-01-03 00:00:00,same_industry
672,SH601728,SH600050,2018-01-03 00:00:00,same_industry
1533,SH600050,SH601728,2018-01-03 00:00:00,same_industry
6006,SZ002230,SH601828,2018-01-03 00:00:00,cooperate
9531,SH600779,SH600887,2018-01-04 00:00:00,rise
9149,SH600029,SH601111,2018-01-04 00:00:00,fall
8125,SH601111,SH600029,2018-01-04 00:00:00,fall
10916,SH600887,SH600779,2018-01-04 00:00:00,rise
5000,SZ300015,SH600918,2018-01-05 00:00:00,increase_holding
4218,SH600918,SZ300015,2018-01-05 00:00:00,increase_holding
12324,SH601995,SZ002027,2018-01-05 00:00:00,be_reduced_holding
12386,SZ002027,SH601995,2018-01-05 00:00:00,be_reduced_holding
10722,SH603799,SH600606,2018-01-05 00:00:00,rise
9262,SH600606,SH603799,2018-01-05 00:00:00,rise
11810,SZ002027,SH601995,2018-01-05 00:00:00,reduce_holding
11728,SH601995,SZ002027,2018-01-05 00:00:00,reduce_holding
1713,SH601231,SZ000682,2018-01-07 00:00:00,same_industry
605,SH600000,SZ000166,2018-01-07 00:00:00,same_industry
1143,SZ000682,SH601231,2018-01-07 00:00:00,same_industry
4076,SH600066,SH600741,2018-01-07 00:00:00,same_industry
2520,SZ000166,SH600000,2018-01-07 00:00:00,same_industry
1202,SH600741,SH600066,2018-01-07 00:00:00,same_industry
1033,SZ002920,SH601066,2018-01-08 00:00:00,same_industry
4284,SH600585,SH600109,2018-01-08 00:00:00,increase_holding
4289,SZ000002,SH600519,2018-01-08 00:00:00,increase_holding
838,SH601066,SZ002920,2018-01-08 00:00:00,same_industry
9936,SZ000718,SH600823,2018-01-08 00:00:00,rise
779,SZ300601,SZ300122,2018-01-08 00:00:00,same_industry
2626,SZ300122,SZ300601,2018-01-08 00:00:00,same_industry
8175,SH600519,SZ000002,2018-01-08 00:00:00,fall
4403,SH600519,SZ000002,2018-01-08 00:00:00,increase_holding
9611,SH600823,SZ000718,2018-01-08 00:00:00,rise
8000,SZ000002,SH600519,2018-01-08 00:00:00,fall
4741,SH600109,SH600585,2018-01-08 00:00:00,increase_holding
8174,SH600519,SH601899,2018-01-09 00:00:00,fall
12024,SZ001979,SH600006,2018-01-09 00:00:00,invest
12806,SZ300104,SH600958,2018-01-09 00:00:00,dispute
10732,SH600438,SZ300433,2018-01-09 00:00:00,rise
12772,SH600958,SZ300104,2018-01-09 00:00:00,dispute
11948,SH600006,SZ001979,2018-01-09 00:00:00,invest
9430,SZ300433,SH600438,2018-01-09 00:00:00,rise
9014,SH601899,SH600519,2018-01-09 00:00:00,fall
10016,SH600036,SH601939,2018-01-10 00:00:00,rise
10170,SH601933,SH601166,2018-01-10 00:00:00,rise
4366,SH601066,SZ300408,2018-01-10 00:00:00,increase_holding
10039,SH601939,SH600036,2018-01-10 00:00:00,rise
12812,SZ300104,SH600958,2018-01-10 00:00:00,dispute
1973,SZ000776,SH600030,2018-01-10 00:00:00,same_industry
7457,SZ001979,SH600006,2018-01-10 00:00:00,cooperate
6709,SH600006,SZ001979,2018-01-10 00:00:00,cooperate
4763,SZ300408,SH601066,2018-01-10 00:00:00,increase_holding
2834,SH600030,SZ000776,2018-01-10 00:00:00,same_industry
12770,SH600958,SZ300104,2018-01-10 00:00:00,dispute
10643,SH601166,SH601933,2018-01-10 00:00:00,rise
4340,SZ002304,SH600918,2018-01-11 00:00:00,increase_holding
5218,SZ002920,SZ002230,2018-01-11 00:00:00,supply
5162,SZ002230,SZ002920,2018-01-11 00:00:00,supply
9243,SH600999,SH600519,2018-01-11 00:00:00,rise
4219,SH600918,SZ002304,2018-01-11 00:00:00,increase_holding
9747,SH600519,SH600999,2018-01-11 00:00:00,rise
4709,SZ000166,SH601012,2018-01-12 00:00:00,increase_holding
5664,SZ002129,SZ300316,2018-01-12 00:00:00,supply
5627,SZ300316,SZ002129,2018-01-12 00:00:00,supply
4301,SH601012,SZ000166,2018-01-12 00:00:00,increase_holding
11851,SH601318,SH601231,2018-01-14 00:00:00,reduce_holding
11740,SH601231,SH601318,2018-01-14 00:00:00,reduce_holding
3428,SZ300059,SH600109,2018-01-14 19:42:00,same_industry
2601,SH600109,SZ300059,2018-01-14 19:42:00,same_industry
4222,SH600918,SZ000725,2018-01-15 00:00:00,increase_holding
9746,SH600519,SH601988,2018-01-15 00:00:00,rise
8793,SZ300142,SZ000021,2018-01-15 00:00:00,fall
7190,SH601998,SZ300059,2018-01-15 00:00:00,cooperate
8428,SZ000021,SZ300142,2018-01-15 00:00:00,fall
3429,SZ300059,SH601377,2018-01-15 00:00:00,same_industry
9208,SH601988,SH600519,2018-01-15 00:00:00,rise
7503,SZ300059,SH601998,2018-01-15 00:00:00,cooperate
11064,SZ000333,SZ000651,2018-01-15 00:00:00,rise
4848,SZ000725,SH600918,2018-01-15 00:00:00,increase_holding
89,SH601377,SZ300059,2018-01-15 00:00:00,same_industry
3305,SZ000333,SZ000651,2018-01-15 00:00:00,same_industry
4760,SH600369,SZ300142,2018-01-15 00:00:00,increase_holding
10551,SZ000651,SZ000333,2018-01-15 00:00:00,rise
4802,SZ300142,SH600369,2018-01-15 00:00:00,increase_holding
2223,SZ000651,SZ000333,2018-01-15 00:00:00,same_industry
8205,SH600519,SH601901,2018-01-16 00:00:00,fall
