,start,end
0,2018-01-01,2018-01-07 00:00:00
1,2018-01-01,2018-01-14 19:42:00
2,2018-01-01,2018-01-18 00:00:00
3,2018-01-01,2018-01-26 00:00:00
4,2018-01-01,2018-02-04 21:30:00
5,2018-01-01,2018-02-11 00:00:00
6,2018-01-01,2018-02-13 00:00:00
7,2018-01-01,2018-02-23 21:44:00
8,2018-01-01,2018-03-02 00:00:00
9,2018-01-01,2018-03-11 00:00:00
10,2018-01-01,2018-03-17 00:00:00
11,2018-01-01,2018-03-25 00:00:00
12,2018-01-01,2018-03-30 20:16:00
13,2018-01-01,2018-04-08 00:00:00
14,2018-01-01,2018-04-13 00:00:00
15,2018-01-01,2018-04-22 00:00:00
16,2018-01-01,2018-04-28 00:00:00
17,2018-01-01,2018-05-06 00:00:00
18,2018-01-01,2018-05-13 00:00:00
19,2018-01-01,2018-05-20 00:00:00
20,2018-01-01,2018-05-27 00:00:00
21,2018-01-01,2018-06-03 00:00:00
22,2018-01-01,2018-06-10 19:09:00
23,2018-01-01,2018-06-16 00:00:00
24,2018-01-01,2018-06-22 00:00:00
25,2018-01-01,2018-06-29 00:00:00
26,2018-01-01,2018-07-07 00:00:00
27,2018-01-01,2018-07-15 00:00:00
28,2018-01-01,2018-07-22 00:00:00
29,2018-01-01,2018-07-29 00:00:00
30,2018-01-01,2018-08-03 00:00:00
31,2018-01-01,2018-08-10 23:13:00
32,2018-01-01,2018-08-19 23:47:00
33,2018-01-01,2018-08-26 21:06:00
34,2018-01-01,2018-08-31 00:00:00
35,2018-01-01,2018-09-08 16:14:00
36,2018-01-01,2018-09-14 00:00:00
37,2018-01-01,2018-09-23 19:08:00
38,2018-01-01,2018-09-30 00:00:00
39,2018-01-01,2018-09-30 00:00:00
40,2018-01-01,2018-10-14 21:55:00
41,2018-01-01,2018-10-19 00:00:00
42,2018-01-01,2018-10-28 21:17:00
43,2018-01-01,2018-11-04 20:10:00
44,2018-01-01,2018-11-10 18:03:00
45,2018-01-01,2018-11-18 00:00:00
46,2018-01-01,2018-11-25 19:57:00
47,2018-01-01,2018-12-02 21:51:00
48,2018-01-01,2018-12-09 17:05:00
49,2018-01-01,2018-12-16 00:00:00
50,2018-01-01,2018-12-23 23:12:00
51,2018-01-01,2018-12-29 18:42:00
52,2018-01-01,2019-01-06 21:02:00
53,2018-01-01,2019-01-11 17:49:00
54,2018-01-01,2019-01-20 18:00:00
55,2018-01-01,2019-01-27 19:17:00
56,2018-01-01,2019-02-03 11:07:00
57,2018-01-01,2019-02-03 11:07:00
58,2018-01-01,2019-02-17 12:17:00
59,2018-01-01,2019-02-24 15:34:00
60,2018-01-01,2019-03-03 20:40:00
61,2018-01-01,2019-03-10 21:10:00
62,2018-01-01,2019-03-17 16:53:00
63,2018-01-01,2019-03-24 17:01:00
64,2018-01-01,2019-03-31 18:07:00
65,2018-01-01,2019-04-07 19:15:00
66,2018-01-01,2019-04-13 12:34:00
67,2018-01-01,2019-04-19 15:00:00
68,2018-01-01,2019-04-28 16:43:00
69,2018-01-01,2019-05-03 13:03:00
70,2018-01-01,2019-05-10 18:22:00
71,2018-01-01,2019-05-19 21:05:00
72,2018-01-01,2019-05-25 04:27:00
73,2018-01-01,2019-06-02 18:00:00
74,2018-01-01,2019-06-08 16:49:00
75,2018-01-01,2019-06-16 19:39:00
76,2018-01-01,2019-06-23 22:09:00
77,2018-01-01,2019-06-30 20:30:00
78,2018-01-01,2019-07-07 19:15:00
79,2018-01-01,2019-07-12 18:20:00
80,2018-01-01,2019-07-20 12:28:00
81,2018-01-01,2019-07-27 08:22:00
82,2018-01-01,2019-08-04 22:23:00
83,2018-01-01,2019-08-11 14:20:00
84,2018-01-01,2019-08-17 02:16:00
85,2018-01-01,2019-08-25 22:03:00
86,2018-01-01,2019-09-01 16:11:00
87,2018-01-01,2019-09-08 17:30:00
88,2018-01-01,2019-09-15 21:32:00
89,2018-01-01,2019-09-22 15:00:00
90,2018-01-01,2019-09-29 14:50:00
91,2018-01-01,2019-10-06 05:29:00
92,2018-01-01,2019-10-13 18:45:00
93,2018-01-01,2019-10-19 14:25:00
94,2018-01-01,2019-10-27 20:17:00
95,2018-01-01,2019-11-02 03:45:00
96,2018-01-01,2019-11-09 18:09:00
97,2018-01-01,2019-11-16 18:25:00
98,2018-01-01,2019-11-24 20:55:00
99,2018-01-01,2019-12-01 19:15:00
100,2018-01-01,2019-12-08 20:43:00
101,2018-01-01,2019-12-15 23:45:00
102,2018-01-01,2019-12-22 17:02:00
103,2018-01-01,2019-12-28 06:37:00
104,2018-01-01,2020-01-05 06:02:00
105,2018-01-01,2020-01-12 20:38:00
106,2018-01-01,2020-01-17 18:34:00
107,2018-01-01,2020-01-24 16:29:00
108,2018-01-01,2020-01-30 17:13:00
109,2018-01-01,2020-02-09 17:01:00
110,2018-01-01,2020-02-16 21:23:00
111,2018-01-01,2020-02-21 23:16:00
112,2018-01-01,2020-02-29 07:29:00
113,2018-01-01,2020-03-06 10:23:00
114,2018-01-01,2020-03-13 18:39:00
115,2018-01-01,2020-03-20 14:19:00
116,2018-01-01,2020-03-27 05:50:00
117,2018-01-01,2020-04-05 14:01:00
118,2018-01-01,2020-04-12 19:10:00
119,2018-01-01,2020-04-19 21:03:00
120,2018-01-01,2020-04-26 12:48:00
121,2018-01-01,2020-05-03 02:10:00
122,2018-01-01,2020-05-10 11:29:00
123,2018-01-01,2020-05-17 08:13:00
124,2018-01-01,2020-05-24 16:17:00
125,2018-01-01,2020-05-31 10:10:00
126,2018-01-01,2020-06-07 23:31:00
127,2018-01-01,2020-06-14 14:54:00
128,2018-01-01,2020-06-19 18:57:00
129,2018-01-01,2020-06-28 19:20:00
130,2018-01-01,2020-07-05 21:21:00
131,2018-01-01,2020-07-12 12:45:00
132,2018-01-01,2020-07-19 13:21:00
133,2018-01-01,2020-07-24 16:12:00
134,2018-01-01,2020-08-02 20:57:00
135,2018-01-01,2020-08-09 19:15:00
136,2018-01-01,2020-08-16 04:33:00
137,2018-01-01,2020-08-23 21:58:00
138,2018-01-01,2020-08-30 21:53:00
139,2018-01-01,2020-09-06 19:14:00
140,2018-01-01,2020-09-13 21:41:00
141,2018-01-01,2020-09-18 16:09:00
142,2018-01-01,2020-09-27 12:20:00
143,2018-01-01,2020-10-04 11:50:00
144,2018-01-01,2020-10-11 06:00:00
145,2018-01-01,2020-10-18 20:41:00
146,2018-01-01,2020-10-25 22:17:00
147,2018-01-01,2020-10-31 17:35:00
148,2018-01-01,2020-11-07 19:25:00
149,2018-01-01,2020-11-15 19:01:00
150,2018-01-01,2020-11-21 16:10:00
151,2018-01-01,2020-11-29 22:50:00
152,2018-01-01,2020-12-06 15:35:00
153,2018-01-01,2020-12-11 20:26:00
154,2018-01-01,2020-12-20 21:37:00
155,2018-01-01,2020-12-27 15:59:00
156,2018-01-01,2021-01-02 15:27:00
157,2018-01-01,2021-01-09 10:01:00
158,2018-01-01,2021-01-17 22:42:00
159,2018-01-01,2021-01-24 13:45:00
160,2018-01-01,2021-01-31 21:06:00
161,2018-01-01,2021-02-07 21:37:00
162,2018-01-01,2021-02-13 08:05:00
163,2018-01-01,2021-02-20 21:09:00
164,2018-01-01,2021-02-27 18:50:00
165,2018-01-01,2021-03-07 14:16:00
166,2018-01-01,2021-03-14 22:04:00
167,2018-01-01,2021-03-21 07:47:00
168,2018-01-01,2021-03-28 21:51:00
169,2018-01-01,2021-04-02 17:39:00
170,2018-01-01,2021-04-10 15:47:00
171,2018-01-01,2021-04-18 22:59:00
172,2018-01-01,2021-04-24 20:00:00
173,2018-01-01,2021-05-02 11:57:00
174,2018-01-01,2021-05-09 09:43:00
175,2018-01-01,2021-05-15 19:25:00
176,2018-01-01,2021-05-21 18:20:00
177,2018-01-01,2021-05-30 21:48:00
178,2018-01-01,2021-06-06 10:47:00
179,2018-01-01,2021-06-13 00:31:00
180,2018-01-01,2021-06-18 22:23:00
181,2018-01-01,2021-06-27 20:59:00
182,2018-01-01,2021-07-04 10:09:00
183,2018-01-01,2021-07-10 10:11:00
184,2018-01-01,2021-07-18 19:55:00
185,2018-01-01,2021-07-25 07:30:00
186,2018-01-01,2021-08-01 07:29:00
187,2018-01-01,2021-08-07 06:37:00
188,2018-01-01,2021-08-15 09:33:00
189,2018-01-01,2021-08-22 19:27:00
190,2018-01-01,2021-08-29 14:42:00
191,2018-01-01,2021-09-05 10:27:00
192,2018-01-01,2021-09-12 14:03:00
193,2018-01-01,2021-09-17 22:04:00
194,2018-01-01,2021-09-26 21:39:00
195,2018-01-01,2021-09-30 10:57:00
196,2018-01-01,2021-10-10 23:41:00
197,2018-01-01,2021-10-15 19:49:00
198,2018-01-01,2021-10-23 00:14:00
199,2018-01-01,2021-10-31 19:30:00
200,2018-01-01,2021-11-07 08:36:00
201,2018-01-01,2021-11-14 22:35:00
202,2018-01-01,2021-11-21 10:15:00
203,2018-01-01,2021-11-28 08:30:00
204,2018-01-01,2021-12-05 20:28:00
205,2018-01-01,2021-12-12 12:12:00
206,2018-01-01,2021-12-19 17:29:00
207,2018-01-01,2021-12-26 18:12:00
208,2018-01-01,2022-01-02 18:46:00
209,2018-01-01,2022-01-09 10:02:00
210,2018-01-01,2022-01-14 16:46:00
211,2018-01-01,2022-01-23 16:16:00
212,2018-01-01,2022-01-30 14:48:00
213,2018-01-01,2022-02-06 11:11:00
214,2018-01-01,2022-02-13 21:59:00
215,2018-01-01,2022-02-20 10:57:00
216,2018-01-01,2022-02-27 16:51:00
217,2018-01-01,2022-03-04 20:13:00
218,2018-01-01,2022-03-13 21:40:00
219,2018-01-01,2022-03-20 19:38:00
220,2018-01-01,2022-03-27 12:52:00
221,2018-01-01,2022-04-03 20:53:00
222,2018-01-01,2022-04-10 08:08:00
223,2018-01-01,2022-04-17 20:18:00
224,2018-01-01,2022-04-23 19:01:00
225,2018-01-01,2022-05-01 19:06:00
226,2018-01-01,2022-05-08 11:56:00
227,2018-01-01,2022-05-13 15:38:00
228,2018-01-01,2022-05-22 15:43:00
229,2018-01-01,2022-05-29 18:25:00
230,2018-01-01,2022-06-04 18:05:00
231,2018-01-01,2022-06-12 08:57:00
232,2018-01-01,2022-06-19 07:44:00
233,2018-01-01,2022-06-26 09:01:00
