,e1,e2,r
0,SZ000538,SZ300122,SW_industry
1,SZ000538,SZ300142,SW_industry
2,SZ000538,SZ300601,SW_industry
3,SZ000538,SH600739,SW_industry
4,SZ000538,SZ002038,SW_industry
5,SZ000538,SH600682,SW_industry
6,SZ000538,SZ000661,SW_industry
7,SZ000538,SH600867,SW_industry
8,SZ000538,SZ002007,SW_industry
9,SZ000538,SH600161,SW_industry
10,SZ000538,SZ002252,SW_industry
11,SZ000538,SH600216,SW_industry
12,SZ000538,SZ002399,SW_industry
13,SZ000538,SZ002001,SW_industry
14,SZ000538,SH600267,SW_industry
15,SZ000538,SH600812,SW_industry
16,SZ000538,SH600276,SW_industry
17,SZ000538,SZ002422,SW_industry
18,SZ000538,SH600196,SW_industry
19,SZ000538,SH600079,SW_industry
20,SZ000538,SZ002773,SW_industry
21,SZ000538,SH600851,SW_industry
22,SZ000538,SZ002653,SW_industry
23,SZ000538,SZ002294,SW_industry
24,SZ000538,SH600380,SW_industry
25,SZ000538,SZ300558,SW_industry
26,SZ000538,SZ000623,SW_industry
27,SZ000538,SH600521,SW_industry
28,SZ000538,SZ000963,SW_industry
29,SZ000538,SH600062,SW_industry
30,SZ000538,SH600664,SW_industry
31,SZ000538,SH603939,SW_industry
32,SZ000538,SH603233,SW_industry
33,SZ000538,SZ002411,SW_industry
34,SZ000538,SZ300760,SW_industry
35,SZ000538,SH603658,SW_industry
36,SZ000538,SZ300676,SW_industry
37,SZ000538,SZ300595,SW_industry
38,SZ000538,SZ300529,SW_industry
39,SZ000538,SZ300677,SW_industry
40,SZ000538,SZ300003,SW_industry
41,SZ000538,SH603882,SW_industry
42,SZ000538,SZ002044,SW_industry
43,SZ000538,SH600763,SW_industry
44,SZ000538,SZ300015,SW_industry
45,SZ000538,SZ300347,SW_industry
46,SZ000538,SH603259,SW_industry
47,SZ000538,SZ002821,SW_industry
48,SZ000538,SZ300759,SW_industry
49,SZ300676,SZ300122,SW_industry
50,SZ300676,SZ300142,SW_industry
51,SZ300676,SZ300601,SW_industry
52,SZ300676,SH600739,SW_industry
53,SZ300676,SZ002038,SW_industry
54,SZ300676,SH600682,SW_industry
55,SZ300676,SZ000661,SW_industry
56,SZ300676,SH600867,SW_industry
57,SZ300676,SZ002007,SW_industry
58,SZ300676,SH600161,SW_industry
59,SZ300676,SZ002252,SW_industry
60,SZ300676,SH600216,SW_industry
61,SZ300676,SZ002399,SW_industry
62,SZ300676,SZ002001,SW_industry
63,SZ300676,SH600267,SW_industry
64,SZ300676,SH600812,SW_industry
65,SZ300676,SH600276,SW_industry
66,SZ300676,SZ002422,SW_industry
67,SZ300676,SH600196,SW_industry
68,SZ300676,SH600079,SW_industry
69,SZ300676,SZ002773,SW_industry
70,SZ300676,SH600851,SW_industry
71,SZ300676,SZ002653,SW_industry
72,SZ300676,SZ002294,SW_industry
73,SZ300676,SH600380,SW_industry
74,SZ300676,SZ300558,SW_industry
75,SZ300676,SZ000623,SW_industry
76,SZ300676,SH600521,SW_industry
77,SZ300676,SZ000963,SW_industry
78,SZ300676,SH600062,SW_industry
79,SZ300676,SH600664,SW_industry
80,SZ300676,SH603939,SW_industry
81,SZ300676,SH603233,SW_industry
82,SZ300676,SZ002411,SW_industry
83,SZ300676,SH600535,SW_industry
84,SZ300676,SZ002603,SW_industry
85,SZ300676,SH603858,SW_industry
86,SZ300676,SZ000999,SW_industry
87,SZ300676,SZ002275,SW_industry
88,SZ300676,SH600566,SW_industry
89,SZ300676,SH600332,SW_industry
90,SZ300676,SZ002424,SW_industry
91,SZ300676,SH600085,SW_industry
92,SZ300676,SZ000538,SW_industry
93,SZ300676,SZ000423,SW_industry
94,SZ300676,SH600518,SW_industry
95,SZ300676,SH600436,SW_industry
96,SZ300676,SH600252,SW_industry
97,SZ300676,SH603882,SW_industry
98,SZ300676,SZ002044,SW_industry
99,SZ300676,SH600763,SW_industry
100,SZ300676,SZ300015,SW_industry
101,SZ300676,SZ300347,SW_industry
102,SZ300676,SH603259,SW_industry
103,SZ300676,SZ002821,SW_industry
104,SZ300676,SZ300759,SW_industry
105,SH600009,SH600428,SW_industry
106,SH600009,SH601919,SW_industry
107,SH600009,SH601872,SW_industry
108,SH600009,SH601866,SW_industry
109,SH600009,SH600026,SW_industry
110,SH600009,SZ002183,SW_industry
111,SH600009,SZ002010,SW_industry
112,SH600009,SH600153,SW_industry
113,SH600009,SH600704,SW_industry
114,SH600009,SZ002468,SW_industry
115,SH600009,SZ002120,SW_industry
116,SH600009,SH600233,SW_industry
117,SH600009,SZ002352,SW_industry
118,SH600009,SH600787,SW_industry
119,SH600009,SH600611,SW_industry
120,SH600009,SH600269,SW_industry
121,SH600009,SH600350,SW_industry
122,SH600009,SZ000755,SW_industry
123,SH600009,SH600020,SW_industry
124,SH600009,SZ000088,SW_industry
125,SH600009,SH601107,SW_industry
126,SH600009,SH600377,SW_industry
127,SH600009,SZ000900,SW_industry
128,SH600009,SH600548,SW_industry
129,SH600009,SH600033,SW_industry
130,SH600009,SZ000828,SW_industry
131,SH600009,SZ001965,SW_industry
132,SH600009,SH600035,SW_industry
133,SH600009,SH601333,SW_industry
134,SH600009,SH601006,SW_industry
135,SH600169,SZ002008,SW_industry
136,SH600169,SZ300124,SW_industry
137,SH600169,SZ300024,SW_industry
138,SH600169,SH601369,SW_industry
139,SH600169,SH600481,SW_industry
140,SH600169,SH601100,SW_industry
141,SH600169,SZ000528,SW_industry
142,SH600169,SZ000157,SW_industry
143,SH600169,SH603338,SW_industry
144,SH600169,SZ000425,SW_industry
145,SH600169,SZ000680,SW_industry
146,SH600169,SH600761,SW_industry
147,SH600169,SZ002097,SW_industry
148,SH600169,SZ000008,SW_industry
149,SH600169,SH601766,SW_industry
150,SH600169,SH688009,SW_industry
151,SH600300,SZ000729,SW_industry
152,SH600300,SH600132,SW_industry
153,SH600300,SH600600,SW_industry
154,SH600300,SZ000869,SW_industry
155,SH600300,SZ002568,SW_industry
156,SH600300,SH603288,SW_industry
157,SH600300,SH600872,SW_industry
158,SH600300,SH600873,SW_industry
159,SH600300,SH603517,SW_industry
160,SH600300,SZ000895,SW_industry
161,SH600300,SZ300146,SW_industry
162,SH600300,SH600809,SW_industry
163,SH600300,SH603369,SW_industry
164,SH600300,SH600519,SW_industry
165,SH600300,SZ002304,SW_industry
166,SH600300,SZ000860,SW_industry
167,SH600300,SH600779,SW_industry
168,SH600300,SZ000568,SW_industry
169,SH600300,SZ000596,SW_industry
170,SH600300,SZ000858,SW_industry
171,SH600020,SH600428,SW_industry
172,SH600020,SH601919,SW_industry
173,SH600020,SH601872,SW_industry
174,SH600020,SH601866,SW_industry
175,SH600020,SH600026,SW_industry
176,SH600020,SZ002183,SW_industry
177,SH600020,SZ002010,SW_industry
178,SH600020,SH600153,SW_industry
179,SH600020,SH600704,SW_industry
180,SH600020,SZ002468,SW_industry
181,SH600020,SZ002120,SW_industry
182,SH600020,SH600233,SW_industry
183,SH600020,SZ002352,SW_industry
184,SH600020,SH600787,SW_industry
185,SH600020,SH600029,SW_industry
186,SH600020,SH603885,SW_industry
187,SH600020,SH601111,SW_industry
188,SH600020,SH600221,SW_industry
189,SH600020,SH601021,SW_industry
190,SH600020,SH600115,SW_industry
191,SH600020,SH600004,SW_industry
192,SH600020,SZ000089,SW_industry
193,SH600020,SH600009,SW_industry
194,SH600312,SZ300316,SW_industry
195,SH600312,SH603185,SW_industry
196,SH600312,SZ300751,SW_industry
197,SH600312,SH603806,SW_industry
198,SH600312,SH601865,SW_industry
199,SH600312,SH600151,SW_industry
200,SH600312,SZ002459,SW_industry
201,SH600312,SH600438,SW_industry
202,SH600312,SZ002129,SW_industry
203,SH600312,SH601012,SW_industry
204,SH600312,SZ300763,SW_industry
205,SH600312,SZ300274,SW_industry
206,SH600312,SH601727,SW_industry
207,SH600312,SH600875,SW_industry
208,SH600312,SZ002202,SW_industry
209,SH600312,SZ300014,SW_industry
210,SH600312,SZ300750,SW_industry
211,SH600312,SZ300207,SW_industry
212,SH600312,SZ002074,SW_industry
213,SH600312,SH603659,SW_industry
214,SH600312,SZ002709,SW_industry
215,SH600312,SZ000009,SW_industry
216,SH600312,SZ002812,SW_industry
217,SH600312,SH688005,SW_industry
218,SH600312,SZ300450,SW_industry
219,SZ000559,SH600297,SW_industry
220,SZ000559,SH600653,SW_industry
221,SZ000559,SZ000572,SW_industry
222,SZ000559,SH601127,SW_industry
223,SZ000559,SH600733,SW_industry
224,SZ000559,SH601238,SW_industry
225,SZ000559,SH600104,SW_industry
226,SZ000559,SZ000927,SW_industry
227,SZ000559,SZ000625,SW_industry
228,SZ000559,SH601633,SW_industry
229,SZ000559,SZ002594,SW_industry
230,SH603185,SH601877,SW_industry
231,SH603185,SZ002498,SW_industry
232,SH603185,SH600089,SW_industry
233,SH603185,SZ002028,SW_industry
234,SH603185,SH601179,SW_industry
235,SH603185,SH600550,SW_industry
236,SH603185,SH600517,SW_industry
237,SH603185,SH600312,SW_industry
238,SH603185,SH600406,SW_industry
239,SH603185,SZ000682,SW_industry
240,SH603185,SZ000400,SW_industry
241,SH603185,SH601727,SW_industry
242,SH603185,SH600875,SW_industry
243,SH603185,SZ002202,SW_industry
244,SH603185,SZ300014,SW_industry
245,SH603185,SZ300750,SW_industry
246,SH603185,SZ300207,SW_industry
247,SH603185,SZ002074,SW_industry
248,SH603185,SH603659,SW_industry
249,SH603185,SZ002709,SW_industry
250,SH603185,SZ000009,SW_industry
251,SH603185,SZ002812,SW_industry
252,SH603185,SH688005,SW_industry
253,SH603185,SZ300450,SW_industry
254,SH600415,SZ002416,SW_industry
255,SH600415,SZ000829,SW_industry
256,SH600415,SZ002024,SW_industry
257,SH600415,SH601888,SW_industry
258,SH600415,SH600058,SW_industry
259,SH601377,SH601336,SW_industry
260,SH601377,SH601601,SW_industry
261,SH601377,SH601318,SW_industry
262,SH601377,SZ000627,SW_industry
263,SH601377,SH601319,SW_industry
264,SH601377,SH601628,SW_industry
265,SH601377,SH600643,SW_industry
266,SH601377,SH600390,SW_industry
267,SH601377,SH600705,SW_industry
268,SH601377,SH600061,SW_industry
269,SH601377,SH600816,SW_industry
270,SH601377,SZ000415,SW_industry
271,SH688009,SZ002008,SW_industry
272,SH688009,SZ300124,SW_industry
273,SH688009,SZ300024,SW_industry
274,SH688009,SH600501,SW_industry
275,SH688009,SZ002073,SW_industry
276,SH688009,SH601106,SW_industry
277,SH688009,SH600169,SW_industry
278,SH688009,SH601717,SW_industry
279,SH688009,SH600320,SW_industry
280,SH688009,SH601608,SW_industry
281,SH688009,SZ002353,SW_industry
282,SH688009,SH600835,SW_industry
283,SH688009,SH601369,SW_industry
284,SH688009,SH600481,SW_industry
285,SH688009,SH601100,SW_industry
286,SH688009,SZ000528,SW_industry
287,SH688009,SZ000157,SW_industry
288,SH688009,SH603338,SW_industry
289,SH688009,SZ000425,SW_industry
290,SH688009,SZ000680,SW_industry
291,SH688009,SH600761,SW_industry
292,SH688009,SZ002097,SW_industry
293,SH600500,SZ002064,SW_industry
294,SH600500,SH603260,SW_industry
295,SH600500,SH600426,SW_industry
296,SH600500,SH600989,SW_industry
297,SH600500,SZ000822,SW_industry
298,SH600500,SZ002601,SW_industry
299,SH600500,SH601216,SW_industry
300,SH600500,SZ002092,SW_industry
301,SH600500,SH600277,SW_industry
302,SH600500,SZ000553,SW_industry
303,SH600500,SZ000408,SW_industry
304,SH600500,SZ000792,SW_industry
305,SH600500,SZ002470,SW_industry
306,SH600500,SH600096,SW_industry
307,SH600500,SZ000912,SW_industry
308,SH600500,SH600143,SW_industry
309,SH600851,SZ300122,SW_industry
310,SH600851,SZ300142,SW_industry
311,SH600851,SZ300601,SW_industry
312,SH600851,SH600739,SW_industry
313,SH600851,SZ002038,SW_industry
314,SH600851,SH600682,SW_industry
315,SH600851,SZ000661,SW_industry
316,SH600851,SH600867,SW_industry
317,SH600851,SZ002007,SW_industry
318,SH600851,SH600161,SW_industry
319,SH600851,SZ002252,SW_industry
320,SH600851,SH603939,SW_industry
321,SH600851,SH603233,SW_industry
322,SH600851,SZ002411,SW_industry
323,SH600851,SZ300760,SW_industry
324,SH600851,SH603658,SW_industry
325,SH600851,SZ300676,SW_industry
326,SH600851,SZ300595,SW_industry
327,SH600851,SZ300529,SW_industry
328,SH600851,SZ300677,SW_industry
329,SH600851,SZ300003,SW_industry
330,SH600851,SH600535,SW_industry
331,SH600851,SZ002603,SW_industry
332,SH600851,SH603858,SW_industry
333,SH600851,SZ000999,SW_industry
334,SH600851,SZ002275,SW_industry
335,SH600851,SH600566,SW_industry
336,SH600851,SH600332,SW_industry
337,SH600851,SZ002424,SW_industry
338,SH600851,SH600085,SW_industry
