,e1,e2,time
0,SH600000,SH601169,2018-10-01
1,SH600000,SH601009,2018-10-01
2,SH600000,SH600919,2018-10-01
3,SH600000,SZ002142,2018-10-01
4,SH600000,SH601997,2018-10-01
5,SH600000,SH601229,2018-10-01
6,SH600000,SH600926,2018-10-01
7,SH600000,SH601577,2018-10-01
8,SH600000,SH601838,2018-10-01
9,SH600000,SH600928,2018-10-01
10,SH600000,SZ002839,2018-10-01
11,SH600000,SZ002958,2018-10-01
12,SH600000,SH601398,2018-10-01
13,SH600000,SH601288,2018-10-01
14,SH600000,SH601328,2018-10-01
15,SH600004,SZ000520,2018-10-01
16,SH600004,SH600428,2018-10-01
17,SH600004,SH601919,2018-10-01
18,SH600004,SH601872,2018-10-01
19,SH600004,SH601866,2018-10-01
20,SH600004,SH600026,2018-10-01
21,SH600004,SZ002183,2018-10-01
22,SH600004,SZ002010,2018-10-01
23,SH600004,SH600153,2018-10-01
24,SH600004,SH600704,2018-10-01
25,SH600004,SZ002468,2018-10-01
26,SH600004,SZ002120,2018-10-01
27,SH600004,SH600233,2018-10-01
28,SH600004,SZ002352,2018-10-01
29,SH600004,SH600787,2018-10-01
30,SH600004,SH600611,2018-10-01
31,SH600004,SH600834,2018-10-01
32,SH600004,SH600269,2018-10-01
33,SH600004,SH600350,2018-10-01
34,SH600004,SZ000755,2018-10-01
35,SH600004,SH600020,2018-10-01
36,SH600004,SZ000088,2018-10-01
37,SH600004,SH601107,2018-10-01
38,SH600004,SH600377,2018-10-01
39,SH600004,SZ000900,2018-10-01
40,SH600004,SH600548,2018-10-01
41,SH600004,SH600033,2018-10-01
42,SH600004,SZ000828,2018-10-01
43,SH600004,SZ001965,2018-10-01
44,SH600004,SH600035,2018-10-01
45,SH600004,SH601333,2018-10-01
46,SH600004,SH601006,2018-10-01
47,SH600009,SZ000520,2018-10-01
48,SH600009,SH600428,2018-10-01
49,SH600009,SH601919,2018-10-01
50,SH600009,SH601872,2018-10-01
51,SH600009,SH601866,2018-10-01
52,SH600009,SH600026,2018-10-01
53,SH600009,SZ002183,2018-10-01
54,SH600009,SZ002010,2018-10-01
55,SH600009,SH600153,2018-10-01
56,SH600009,SH600704,2018-10-01
57,SH600009,SZ002468,2018-10-01
58,SH600009,SZ002120,2018-10-01
59,SH600009,SH600233,2018-10-01
60,SH600009,SZ002352,2018-10-01
61,SH600009,SH600787,2018-10-01
62,SH600009,SH600611,2018-10-01
63,SH600009,SH600834,2018-10-01
64,SH600009,SH600269,2018-10-01
65,SH600009,SH600350,2018-10-01
66,SH600009,SZ000755,2018-10-01
67,SH600009,SH600020,2018-10-01
68,SH600009,SZ000088,2018-10-01
69,SH600009,SH601107,2018-10-01
70,SH600009,SH600377,2018-10-01
71,SH600009,SZ000900,2018-10-01
72,SH600009,SH600548,2018-10-01
73,SH600009,SH600033,2018-10-01
74,SH600009,SZ000828,2018-10-01
75,SH600009,SZ001965,2018-10-01
76,SH600009,SH600035,2018-10-01
