,start,end
0,2022-08-09 07:41:00,2022-09-06 22:32:00
1,2022-06-09 16:09:00,2022-07-08 21:50:00
2,2021-06-14 02:00:00,2021-07-13 20:50:00
3,2021-12-11 17:47:00,2022-01-09 10:02:00
4,2021-07-14 08:05:00,2021-08-12 23:29:00
5,2022-12-06 07:12:00,2023-01-04 15:34:00
6,2023-01-05 09:44:00,2023-02-03 17:10:00
7,2023-02-05 02:37:00,2023-02-07 09:02:00
8,2022-01-10 09:02:00,2022-02-08 17:47:00
9,2022-04-10 08:08:00,2022-05-09 09:54:00
10,2022-05-10 15:26:00,2022-06-08 17:30:00
11,2019-12-22 17:02:00,2020-01-20 18:00:00
12,2020-01-21 18:42:00,2020-02-19 23:00:00
13,2020-02-20 07:25:00,2020-03-20 14:19:00
14,2020-03-24 02:53:00,2020-04-19 21:03:00
15,2019-08-24 10:24:00,2019-09-22 15:00:00
16,2019-09-23 07:38:00,2019-10-22 19:27:00
17,2019-10-23 09:22:00,2019-11-21 17:31:00
18,2019-11-22 17:30:00,2019-12-20 18:11:00
19,2021-10-12 06:13:00,2021-11-10 19:17:00
20,2021-11-11 00:27:00,2021-12-10 20:17:00
21,2021-08-13 08:40:00,2021-09-10 18:23:00
22,2021-09-12 14:03:00,2021-10-11 16:42:00
23,2020-04-20 01:41:00,2020-05-19 09:51:00
24,2020-05-20 07:07:00,2020-06-18 16:08:00
25,2021-04-15 07:13:00,2021-05-14 23:45:00
26,2021-05-15 19:18:00,2021-06-13 00:31:00
27,2018-01-31 00:00:00,2018-03-01 22:23:00
28,2018-01-01 00:00:00,2018-01-30 00:00:00
29,2018-04-02 00:00:00,2018-04-30 00:00:00
30,2018-03-02 00:00:00,2018-03-30 20:16:00
31,2018-05-31 00:00:00,2018-06-29 00:00:00
32,2018-05-01 00:00:00,2018-05-30 00:00:00
33,2018-07-30 00:00:00,2018-08-28 00:00:00
34,2018-07-02 00:00:00,2018-07-29 00:00:00
35,2018-09-28 00:00:00,2018-10-27 19:50:00
36,2018-08-29 00:00:00,2018-09-27 00:00:00
37,2022-03-11 14:40:00,2022-04-09 23:49:00
38,2021-03-16 04:28:00,2021-04-14 17:30:00
39,2021-02-17 14:07:00,2021-03-15 17:20:00
40,2022-11-06 09:33:36,2022-12-05 20:01:33
41,2022-10-08 09:49:00,2022-11-05 13:15:34
42,2018-11-27 00:00:00,2018-12-26 23:48:00
43,2018-10-28 08:12:00,2018-11-26 20:15:00
44,2019-01-27 19:17:00,2019-02-24 15:34:00
45,2018-12-27 00:00:00,2019-01-24 17:15:00
46,2019-03-27 10:23:00,2019-04-25 21:10:00
47,2019-02-25 07:50:00,2019-03-26 20:19:00
48,2019-05-27 14:28:00,2019-06-24 20:11:00
49,2019-04-26 09:37:00,2019-05-25 04:27:00
50,2019-07-25 08:11:00,2019-08-23 19:55:00
51,2019-06-25 07:38:00,2019-07-24 22:09:00
52,2020-07-19 13:21:00,2020-08-17 20:27:00
53,2020-06-19 05:27:00,2020-07-18 21:22:00
54,2021-01-15 07:20:00,2021-02-13 08:05:00
55,2020-12-16 10:22:00,2021-01-14 17:03:00
56,2020-11-16 13:53:00,2020-12-15 16:46:00
57,2020-10-17 09:04:00,2020-11-15 19:01:00
58,2020-09-17 10:51:00,2020-10-16 19:10:00
59,2022-07-09 09:28:00,2022-08-07 12:10:00
60,2020-08-18 04:16:00,2020-09-16 22:03:00
61,2022-09-07 09:53:00,2022-10-06 16:12:00
62,2022-02-09 05:15:00,2022-03-10 16:11:00
